id,location,date,total_cases,new_cases,total_deaths,new_deaths,mask_use_percentage,new_cases_per_million_habitants,new_deaths_per_million_habitants,total_cases_per_million_habitants,total_deaths_per_million_habitants
38779,France,2021-06-01,5738762.00,35263.00,109827.00,4959.00,77.60,538.5872741096578,75.74098324900868,87650.63047228222,1677.435968398644
38809,France,2021-07-01,5840067.00,101305.00,111288.00,1461.00,75.00,1547.2757225329349,22.31449415745144,89197.90619481515,1699.7504625560955
38840,France,2021-08-01,6210335.00,370268.00,112079.00,791.00,77.00,5655.265655503921,12.081290129051395,94853.17185031908,1711.831752685147
40846,Germany,2020-03-01,130.00,122.00,,,3.25,1.4497069678787,,1.544769719870746,
40877,Germany,2020-04-01,77872.00,77742.00,920.00,,23.25,923.7960581707041,,925.3408278905749,10.93221647908528
40907,Germany,2020-05-01,164077.00,86205.00,6736.00,5816.00,63.00,1024.3605669342896,69.11062069821737,1949.7013948248646,80.04283717730266
40938,Germany,2020-06-01,183594.00,19517.00,8555.00,1819.00,64.00,231.917466328595,21.614893234191438,2181.6188611534594,101.6577304114941
40968,Germany,2020-07-01,195893.00,12299.00,8995.00,440.00,65.33,146.14709834377157,5.228451359562525,2327.765959497231,106.88618177105661
40999,Germany,2020-08-01,211005.00,15112.00,9154.00,159.00,64.50,179.57353851297472,1.8893721958419125,2507.3394980102057,108.77555396689853
41030,Germany,2020-09-01,246015.00,35010.00,9307.00,153.00,63.00,416.0183684051909,1.818075131847878,2923.357866415397,110.5936290987464
41060,Germany,2020-10-01,295539.00,49524.00,9509.00,202.00,64.00,588.4859662067602,2.4003344877991593,3511.843832622157,112.99396358654558
41091,Germany,2020-11-01,544346.00,248807.00,10513.00,1004.00,70.50,2956.534766860621,11.930375375001761,6468.378599482778,124.92433896154733
41121,Germany,2020-12-01,1094678.00,550332.00,17177.00,6664.00,73.00,6539.509303660826,79.18727240937424,13007.887903143604,204.11161137092157
41152,Germany,2021-01-01,1762637.00,667959.00,34145.00,16968.00,73.50,7937.2525947318745,201.62809697512938,20945.14049787548,405.739708346051
41183,Germany,2021-02-01,2232327.00,469690.00,58059.00,23914.00,72.50,5581.252997893005,284.16633139222324,26526.393495768483,689.9060397382742
41211,Germany,2021-03-01,2455569.00,223242.00,70514.00,12455.00,70.00,2652.749860026039,148.00082200761648,29179.143355794524,837.9068617458906
41242,Germany,2021-04-01,2866323.00,410754.00,76823.00,6309.00,70.50,4880.925703967603,74.96886278972721,34060.06905976213,912.8757245356179
41272,Germany,2021-05-01,3423900.00,557577.00,83207.00,6384.00,68.50,6625.600508433623,75.86007608965264,40685.66956819575,988.7358006252705
41303,Germany,2021-06-01,3692908.00,269008.00,88781.00,5574.00,67.00,3196.580098484536,66.23497245045799,43882.24966668028,1054.9707730757284
41333,Germany,2021-07-01,3736959.00,44051.00,91014.00,2233.00,61.33,523.4511610002018,26.534390649779816,44405.700827680485,1081.5051637255083
41364,Germany,2021-08-01,3778277.00,41318.00,91666.00,652.00,63.50,490.9753483509191,7.747614287351742,44896.676176031404,1089.25277801286
53284,Italy,2020-03-01,1694.00,1692.00,34.00,,51.67,28.041177109615894,,28.074322709036245,0.5634751901459458
53315,Italy,2020-04-01,110574.00,108880.00,13155.00,13121.00,83.60,1804.4464324438409,217.4517049972046,1832.520755152877,218.01518018735052
53345,Italy,2020-05-01,207428.00,96854.00,28236.00,15081.00,85.00,1605.1419431292777,249.93439242914735,3437.662698282155,467.94957261649785
53376,Italy,2020-06-01,233197.00,25769.00,33475.00,5239.00,84.00,427.06447573149643,86.82489768160619,3864.727174013651,554.7744702981041
53406,Italy,2020-07-01,240760.00,7563.00,34788.00,1313.00,83.25,125.3400842080526,21.760086019459617,3990.067258221704,576.5345563175637
53437,Italy,2020-08-01,247832.00,7072.00,35146.00,358.00,83.50,117.20283955035674,5.933062296242607,4107.270097772061,582.4676186138063
53468,Italy,2020-09-01,270189.00,22357.00,35491.00,345.00,85.00,370.51808312037974,5.717615900010333,4477.78818089244,588.1852345138166
53498,Italy,2020-10-01,317409.00,47220.00,35918.00,427.00,87.25,782.5676023144578,7.076585476244674,5260.355783206898,595.2618199900613
53529,Italy,2020-11-01,709335.00,391926.00,38826.00,2908.00,87.00,6495.311099209999,48.19370155718855,11755.666882416897,643.4555215472499
53559,Italy,2020-12-01,1620901.00,911566.00,56361.00,17535.00,84.75,15107.200740605273,290.6040429179165,26862.86762302217,934.0595644651663
53590,Italy,2021-01-01,2129376.00,508475.00,74621.00,18260.00,85.00,8426.854332631172,302.6193227077933,35289.721955653346,1236.6788871729595
53621,Italy,2021-02-01,2560957.00,431581.00,88845.00,14224.00,84.00,7152.505471716984,235.73150307752746,42442.22742737033,1472.4103902504871
53649,Italy,2021-03-01,2938371.00,377414.00,97945.00,9100.00,85.00,6254.806629815942,150.8124773625914,48697.03405718627,1623.2228676130785
53680,Italy,2021-04-01,3607083.00,668712.00,109847.00,11902.00,83.50,11082.430039790463,197.24946215050142,59779.464096976735,1820.4723297635799
53710,Italy,2021-05-01,4035617.00,428534.00,121033.00,11186.00,82.33,7102.008151000082,185.3833375580162,66881.47224797681,2005.855667321596
53741,Italy,2021-06-01,4220304.00,184687.00,126221.00,5188.00,79.75,3060.780660073068,85.97968489638727,69942.25290804988,2091.835352217983
53771,Italy,2021-07-01,4260788.00,40484.00,127587.00,1366.00,77.33,670.9332234667198,22.638444404098884,70613.1861315166,2114.4737966220823
53802,Italy,2021-08-01,4355348.00,94560.00,128068.00,481.00,77.40,1567.1239405941365,7.971516660594117,72180.31007211073,2122.4453132826766
79686,Norway,2020-04-01,4863.00,4844.00,44.00,,5.25,883.8633807044449,,887.3302271605523,8.028486529933026
79716,Norway,2020-05-01,7783.00,2920.00,210.00,166.00,6.00,532.799560622828,30.28929009020187,1420.1297877833804,38.3177766201349
79747,Norway,2020-06-01,8446.00,663.00,236.00,26.00,,120.97469475785446,4.744105676778606,1541.104482541235,43.0618822969135
79777,Norway,2020-07-01,8896.00,450.00,251.00,15.00,,82.1095213288605,2.7369840442953497,1623.2140038700954,45.79886634120885
79808,Norway,2020-08-01,9253.00,357.00,255.00,4.00,,65.14022025422932,0.7298624118120933,1688.3542241243247,46.52872875302095
79839,Norway,2020-09-01,10871.00,1618.00,264.00,9.00,17.00,295.22934557799175,1.6421904265772098,1983.5835697023165,48.17091917959816
79869,Norway,2020-10-01,14149.00,3278.00,274.00,10.00,24.00,598.1222464800104,1.8246560295302332,2581.705816182327,49.99557520912839
79900,Norway,2020-11-01,20635.00,6486.00,282.00,8.00,43.50,1183.4719007533092,1.4597248236241867,3765.177716935636,51.455300032752575
79930,Norway,2020-12-01,36591.00,15956.00,334.00,52.00,48.00,2911.42116071844,9.488211353557212,6676.598877654076,60.94351138630979
79961,Norway,2021-01-01,49803.00,13212.00,436.00,102.00,62.00,2410.735546215344,18.611491501208377,9087.33442386942,79.55500288751817
79992,Norway,2021-02-01,63262.00,13459.00,567.00,131.00,61.33,2455.804550144741,23.902993986846056,11543.13897401416,103.45799687436423
80020,Norway,2021-03-01,71735.00,8473.00,623.00,56.00,68.50,1546.0310538209665,10.218073765369306,13089.170027835127,113.67607063973352
80051,Norway,2021-04-01,96770.00,25035.00,673.00,50.00,76.00,4568.026369928939,9.123280147651165,17657.196397764066,122.7993507873847
80081,Norway,2021-05-01,113259.00,16489.00,756.00,83.00,69.00,3008.6753270924014,15.144645045100935,20665.871724856468,137.94399583248563
80112,Norway,2021-06-01,125576.00,12317.00,783.00,27.00,63.00,2247.4288315723884,4.92657127973163,22913.300556428858,142.87056711221726
80142,Norway,2021-07-01,131509.00,5933.00,794.00,11.00,51.50,1082.5684223202873,2.0071216324832566,23995.868978749142,144.87768874470052
80173,Norway,2021-08-01,137853.00,6344.00,799.00,5.00,45.00,1157.56178513398,0.9123280147651166,25153.430763883123,145.79001675946563
100156,Spain,2020-03-01,84.00,83.00,,,24.00,1.7742732010483688,,1.7956499866031685,
100187,Spain,2020-04-01,104118.00,104034.00,9387.00,,60.80,2223.912508408024,,2225.7081583946274,200.6638860029041
100217,Spain,2020-05-01,215216.00,111098.00,24543.00,15156.00,85.00,2374.9181215671288,323.9865618685431,4600.626279961756,524.6504478714472
100248,Spain,2020-06-01,239638.00,24422.00,27127.00,2584.00,84.75,522.0638568193165,55.23761387360223,5122.690136781072,579.8880617450494
100278,Spain,2020-07-01,249659.00,10021.00,28364.00,1237.00,88.00,214.21676804464704,26.443083731287135,5336.90690482572,606.3311454763366
