id,location,date,total_cases,new_cases,total_deaths,new_deaths,mask_use_percentage
53710,Italy,2021-05-01,4035617.00,428534.00,121033.00,11186.00,82.33
53741,Italy,2021-06-01,4220304.00,184687.00,126221.00,5188.00,79.75
53771,Italy,2021-07-01,4260788.00,40484.00,127587.00,1366.00,77.33
53802,Italy,2021-08-01,4355348.00,94560.00,128068.00,481.00,77.40
79686,Norway,2020-04-01,4863.00,4844.00,44.00,,5.25
79716,Norway,2020-05-01,7783.00,2920.00,210.00,166.00,6.00
79747,Norway,2020-06-01,8446.00,663.00,236.00,26.00,
79777,Norway,2020-07-01,8896.00,450.00,251.00,15.00,
79808,Norway,2020-08-01,9253.00,357.00,255.00,4.00,
79839,Norway,2020-09-01,10871.00,1618.00,264.00,9.00,17.00
79869,Norway,2020-10-01,14149.00,3278.00,274.00,10.00,24.00
79900,Norway,2020-11-01,20635.00,6486.00,282.00,8.00,43.50
79930,Norway,2020-12-01,36591.00,15956.00,334.00,52.00,48.00
79961,Norway,2021-01-01,49803.00,13212.00,436.00,102.00,62.00
79992,Norway,2021-02-01,63262.00,13459.00,567.00,131.00,61.33
80020,Norway,2021-03-01,71735.00,8473.00,623.00,56.00,68.50
80051,Norway,2021-04-01,96770.00,25035.00,673.00,50.00,76.00
80081,Norway,2021-05-01,113259.00,16489.00,756.00,83.00,69.00
80112,Norway,2021-06-01,125576.00,12317.00,783.00,27.00,63.00
80142,Norway,2021-07-01,131509.00,5933.00,794.00,11.00,51.50
80173,Norway,2021-08-01,137853.00,6344.00,799.00,5.00,45.00
100156,Spain,2020-03-01,84.00,83.00,,,24.00
100187,Spain,2020-04-01,104118.00,104034.00,9387.00,,60.80
100217,Spain,2020-05-01,215216.00,111098.00,24543.00,15156.00,85.00
100248,Spain,2020-06-01,239638.00,24422.00,27127.00,2584.00,84.75
100278,Spain,2020-07-01,249659.00,10021.00,28364.00,1237.00,88.00
100309,Spain,2020-08-01,288522.00,38863.00,28445.00,81.00,89.00
100340,Spain,2020-09-01,470973.00,182451.00,29152.00,707.00,88.40
100370,Spain,2020-10-01,778607.00,307634.00,31973.00,2821.00,89.00
100401,Spain,2020-11-01,1185678.00,407071.00,35878.00,3905.00,88.00
100431,Spain,2020-12-01,1656444.00,470766.00,45511.00,9633.00,85.50
100462,Spain,2021-01-01,1928265.00,271821.00,50837.00,5326.00,88.50
100493,Spain,2021-02-01,2822805.00,894540.00,59081.00,8244.00,87.00
100521,Spain,2021-03-01,3204531.00,381726.00,69609.00,10528.00,86.75
100552,Spain,2021-04-01,3291394.00,86863.00,75541.00,5932.00,89.00
100582,Spain,2021-05-01,3524077.00,232683.00,78216.00,2675.00,87.00
100613,Spain,2021-06-01,3682778.00,158701.00,79983.00,1767.00,84.75
100643,Spain,2021-07-01,3821305.00,138527.00,80883.00,900.00,84.20
100674,Spain,2021-08-01,4447044.00,625739.00,81486.00,603.00,84.00
102475,Sweden,2020-03-01,14.00,13.00,,,1.00
102506,Sweden,2020-04-01,5320.00,5306.00,455.00,,5.25
102536,Sweden,2020-05-01,22133.00,16813.00,2653.00,2198.00,3.00
102567,Sweden,2020-06-01,39309.00,17176.00,4403.00,1750.00,5.50
102597,Sweden,2020-07-01,68608.00,29299.00,5370.00,967.00,
102628,Sweden,2020-08-01,77379.00,8771.00,5743.00,373.00,
102659,Sweden,2020-09-01,84521.00,7142.00,5813.00,70.00,7.50
102689,Sweden,2020-10-01,93615.00,9094.00,5893.00,80.00,9.00
102720,Sweden,2020-11-01,124355.00,30740.00,5938.00,45.00,12.00
102750,Sweden,2020-12-01,260758.00,136403.00,6681.00,743.00,16.00
102781,Sweden,2021-01-01,437379.00,176621.00,8727.00,2046.00,29.00
102812,Sweden,2021-02-01,566957.00,129578.00,11591.00,2864.00,33.00
102840,Sweden,2021-03-01,657309.00,90352.00,12826.00,1235.00,36.50
102871,Sweden,2021-04-01,813191.00,155882.00,13498.00,672.00,43.00
102901,Sweden,2021-05-01,973604.00,160413.00,14048.00,550.00,43.00
102932,Sweden,2021-06-01,1068473.00,94869.00,14451.00,403.00,32.67
102962,Sweden,2021-07-01,1090553.00,22080.00,14630.00,179.00,23.00
102993,Sweden,2021-08-01,1100040.00,9487.00,14655.00,25.00,22.00
111626,United Kingdom,2020-03-01,94.00,92.00,,,2.50
111657,United Kingdom,2020-04-01,43789.00,43695.00,3130.00,,10.25
111687,United Kingdom,2020-05-01,183501.00,139712.00,27454.00,24324.00,18.00
111718,United Kingdom,2020-06-01,258983.00,75482.00,37613.00,10159.00,26.33
111748,United Kingdom,2020-07-01,285279.00,26296.00,40576.00,2963.00,50.00
111779,United Kingdom,2020-08-01,305562.00,20283.00,41287.00,711.00,71.33
111810,United Kingdom,2020-09-01,339415.00,33853.00,41592.00,305.00,74.33
111840,United Kingdom,2020-10-01,462777.00,123362.00,42292.00,700.00,75.00
111871,United Kingdom,2020-11-01,1038056.00,575279.00,46807.00,4515.00,74.50
111901,United Kingdom,2020-12-01,1647233.00,609177.00,59148.00,12341.00,76.50
111932,United Kingdom,2021-01-01,2549693.00,902460.00,74237.00,15089.00,73.33
111963,United Kingdom,2021-02-01,3846855.00,1297162.00,106774.00,32537.00,75.50
111991,United Kingdom,2021-03-01,4194289.00,347434.00,123187.00,16413.00,73.00
112022,United Kingdom,2021-04-01,4364547.00,170258.00,127006.00,3819.00,73.00
112052,United Kingdom,2021-05-01,4434157.00,69610.00,127782.00,776.00,72.50
112083,United Kingdom,2021-06-01,4506333.00,72176.00,128045.00,263.00,72.00
112113,United Kingdom,2021-07-01,4844944.00,338611.00,128426.00,381.00,67.67
112144,United Kingdom,2021-08-01,5907594.00,1062650.00,130014.00,1588.00,64.00
79655,Norway,2020-03-01,19.00,19.00,,,3.33
1610,Alabama,2020-04-01,1108.00,1108,28.00,28,24.67
3260,Alabama,2020-05-01,8402.00,7294,317.00,289,30.13
4965,Alabama,2020-06-01,26936.00,18534,963.00,646,27.60
6615,Alabama,2020-07-01,65898.00,38962,1935.00,972,62.68
8320,Alabama,2020-08-01,155247.00,89349,3538.00,1603,65.35
10025,Alabama,2020-09-01,282863.00,127616,5738.00,2200,59.83
1611,Alaska,2020-04-01,143.00,143,2.00,2,33.30
3261,Alaska,2020-05-01,505.00,362,9.00,7,42.42
4966,Alaska,2020-06-01,981.00,476,17.00,8,46.03
6616,Alaska,2020-07-01,2155.00,1174,29.00,12,57.45
8321,Alaska,2020-08-01,5980.00,3825,51.00,22,56.84
10026,Alaska,2020-09-01,12089.00,6109,87.00,36,52.33
1612,Arizona,2020-04-01,1415.00,1413,29.00,29,14.90
3262,Arizona,2020-05-01,9377.00,7962,359.00,330,17.55
4967,Arizona,2020-06-01,29500.00,20123,1277.00,918,21.77
6617,Arizona,2020-07-01,113652.00,84152,3003.00,1726,83.13
8322,Arizona,2020-08-01,290671.00,177019,6756.00,3753,87.26
